what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1349460542306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460542524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460542727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460544771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460545051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460558189
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1349460558220
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349460566784
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349460566862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460580699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460587875
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1349460605644
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1349460609076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460610246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460613928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460616021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460633337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460633587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460636037
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349460636536
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349460638938
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349460698499
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349460707532
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1349460709669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460710917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460712196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460712914
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460714957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460715238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460717610
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349460719312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460724101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1349460724148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460737664
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349460737804
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349460737851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460738771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460743333
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349460743442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460744316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460747678
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349460747834
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349460747881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460749097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460750676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460780316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460781096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460781658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460783046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460784607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460785840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1349460787805
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349460790551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460792049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460793265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460793624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460801176
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1349460801191
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349460803906
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349460815231
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349460816651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349460867367
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349460868022
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349460928784
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349460935242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460944665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460944821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349460950920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349460968189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349460972105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461036596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461036689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349461066111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349461069356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349461085861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349461100135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349461117981
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1349461121928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461122708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461124408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461128074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461128152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1349461129681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461130367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461131584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461140617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461140679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1349461142114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461143705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461144970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461145142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461160633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1349461194876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349461196140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1349461217124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461218637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461233239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461233395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461249495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349461293504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349461306390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349461308371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1349461342129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349461359149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349461374016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461376278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461377494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461377635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461391301
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1349461391894
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349461403750
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1349461412674
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349461419787
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349461437415
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349461446042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461447072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461450348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461463826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461466244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461466807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461467493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461468415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461482823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461489307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461490513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461490843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461587581
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1349461626881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461628272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461629584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461629720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349461636614
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1349461636634
